sheepX,sheepY,wolfX,wolfY
1138,177,1138,66
1139,178,1139,66
1140,180,1140,66
1141,177,1141,66
1142,177,1142,66
1143,178,1143,66
1144,179,1144,66
1145,178,1145,66
1146,176,1146,66
1147,176,1147,66
1148,172,1148,66
1149,177,1149,66
1150,179,1150,66
1151,177,1151,66
1152,176,1152,66
1153,172,1153,66
1154,174,1154,66
1155,177,1155,66
1156,179,1156,66
1157,179,1157,66
1158,176,1158,66
1159,173,1159,66
1160,175,1160,66
1161,174,1161,66
1162,173,1162,66
1163,172,1163,66
1164,171,1164,66
1165,170,1165,66
1166,167,1166,66
1167,168,1167,66
1168,168,1168,66
1169,164,1169,66
1170,164,1170,66
1171,163,1171,66
1172,162,1172,66
1173,165,1173,66
1174,166,1174,66
1175,166,1175,66
1176,165,1176,66
1177,165,1177,66
1178,164,1178,66
1179,160,1179,66
1180,163,1180,66
1181,159,1181,66
1182,155,1182,66
1183,157,1183,66
1184,159,1184,66
1185,160,1185,66
1186,156,1186,66
1187,155,1187,66
1188,151,1188,66
1189,150,1189,66
1190,148,1190,66
1191,146,1191,66
1192,146,1192,66
1193,151,1193,66
1194,155,1194,66
1195,157,1195,66
1196,159,1196,66
1197,158,1197,66
1198,160,1198,66
1199,162,1199,66
1200,159,1200,66
1201,164,1201,66
1202,160,1202,66
1203,158,1203,66
1204,156,1204,66
1205,155,1205,66
1206,152,1206,66
1207,153,1207,66
1208,152,1208,66
1209,149,1209,66
1210,151,1210,66
1211,150,1211,66
1212,156,1212,66
1213,157,1213,66
1214,154,1214,66
1215,155,1215,66
1216,157,1216,66
1217,158,1217,66
1218,161,1218,66
1219,159,1219,66
1220,164,1220,66
1221,166,1221,66
1222,168,1222,66
1223,166,1223,66
1224,167,1224,66
1225,169,1225,66
1226,169,1226,66
1227,166,1227,66
1228,167,1228,66
1229,168,1229,66
1230,167,1230,66
1231,169,1231,66
1232,171,1232,66
1233,170,1233,66
1234,173,1234,66
1235,176,1235,66
1236,176,1236,66
1237,178,1237,66
1238,176,1238,66
1239,166,1239,66
1240,163,1240,66
1241,164,1241,66
1242,159,1242,66
1243,160,1243,66
1244,152,1244,66
1245,150,1245,66
1246,152,1246,66
1247,147,1247,66
1248,148,1248,66
1249,149,1249,66
1250,146,1250,66
1251,145,1251,66
1252,141,1252,66
1253,139,1253,66
1254,139,1254,66
1255,141,1255,66
1256,143,1256,66
1257,142,1257,66
1258,145,1258,66
1259,142,1259,66
1260,142,1260,66
1261,137,1261,66
1262,140,1262,66
1263,144,1263,66
1264,141,1264,66
1265,143,1265,66
1266,135,1266,66
1267,140,1267,66
1268,141,1268,66
1269,138,1269,66
1270,135,1270,66
1271,137,1271,66
1272,135,1272,66
1273,133,1273,66
1274,135,1274,66
1275,136,1275,66
1276,134,1276,66
1277,136,1277,66
1278,132,1278,66
1279,132,1279,66
1280,132,1280,66
1281,132,1281,66
1282,128,1282,66
1283,129,1283,66
1284,127,1284,66
1285,128,1285,66
1286,124,1286,66
1287,127,1287,66
1288,127,1288,66
1289,132,1289,66
1290,132,1290,66
1291,131,1291,66
1292,134,1292,66
1293,134,1293,66
1294,136,1294,66
1295,136,1295,66
1296,141,1296,66
1297,142,1297,66
1298,140,1298,66
1299,144,1299,66
1300,138,1300,66
1301,136,1301,66
1302,134,1302,66
1303,133,1303,66
1304,133,1304,66
1305,133,1305,66
1306,129,1306,66
1307,129,1307,66
1308,132,1308,66
1309,134,1309,66
1310,134,1310,66
1311,135,1311,66
1312,138,1312,66
1313,140,1313,66
1314,140,1314,66
1315,143,1315,66
1316,144,1316,66
1317,146,1317,66
1318,144,1318,66
1319,147,1319,66
1320,146,1320,66
1321,144,1321,66
1322,145,1322,66
1323,144,1323,66
1324,143,1324,66
1325,148,1325,66
1326,144,1326,66
1327,146,1327,66
1328,148,1328,66
1329,148,1329,66
1330,149,1330,66
1331,151,1331,66
1332,153,1332,66
1333,149,1333,66
1334,150,1334,66
1335,153,1335,66
1336,155,1336,66
1337,152,1337,66
1338,153,1338,66
1339,152,1339,66
1340,154,1340,66
1341,151,1341,66
1342,151,1342,66
1343,151,1343,66
1344,147,1344,66
1345,149,1345,66
1346,144,1346,66
1347,144,1347,66
1348,144,1348,66
1349,144,1349,66
1350,145,1350,66
1351,144,1351,66
1352,143,1352,66
1353,146,1353,66
1354,148,1354,66
1355,149,1355,66
1356,146,1356,66
1357,150,1357,66
1358,151,1358,66
1359,152,1359,66
1360,149,1360,66
1361,149,1361,66
1362,149,1362,66
1363,152,1363,66
1364,149,1364,66
1365,150,1365,66
1366,149,1366,66
1367,149,1367,66
1368,146,1368,66
1369,142,1369,66
1370,140,1370,66
1371,141,1371,66
1372,143,1372,66
1373,138,1373,66
1374,138,1374,66
1375,134,1375,66
1376,132,1376,66
1377,129,1377,66
1378,128,1378,66
1379,125,1379,66
1380,124,1380,66
